user_id,item_id,timestamp,correct,skill_id
11,505,10890149,1,204
11,506,10890162,1,204
11,507,10890170,1,204
168,505,11496226,0,204
168,505,11496229,0,204
168,505,11496230,0,204
168,505,11496241,1,204
168,506,11496244,1,204
168,507,11496253,1,204
199,505,16613619,1,204
199,506,16613629,1,204
199,507,16613633,1,204
202,506,19636094,1,204
202,505,19636087,1,204
202,505,19636081,0,204
202,507,19636101,1,204
202,505,19636078,0,204
202,505,19636076,0,204
202,505,19636080,0,204
235,505,12966483,1,204
235,506,12966488,1,204
235,507,12966496,1,204
243,507,14788220,1,204
243,506,14788215,1,204
243,505,14788211,1,204
243,505,14788208,0,204
243,505,14788200,0,204
243,505,14788198,0,204
243,505,14788195,0,204
243,505,14788205,0,204
250,505,10286153,1,204
250,506,10286169,0,204
250,506,10286164,0,204
250,506,10286163,0,204
250,506,10286162,0,204
250,506,10286160,0,204
250,505,10286152,0,204
250,505,10286139,0,204
250,505,10286148,0,204
250,505,10286142,0,204
250,505,10286141,0,204
250,505,10286151,0,204
250,505,10286135,0,204
250,505,10286134,0,204
250,505,10286132,0,204
290,505,20234503,0,204
290,505,20234502,0,204
290,505,20234463,0,204
290,505,20234475,0,204
305,505,9338473,1,204
305,506,9338482,1,204
305,507,9338486,1,204
321,505,11769348,0,204
321,507,11769368,1,204
321,506,11769363,1,204
321,505,11769349,1,204
321,505,11769346,0,204
321,505,11769335,0,204
321,505,11769339,0,204
321,505,11769338,0,204
321,505,11769337,0,204
321,505,11769344,0,204
370,506,7870585,0,204
370,507,7870595,1,204
370,507,7870593,0,204
370,506,7870586,1,204
370,506,7870583,0,204
370,505,7870553,0,204
370,506,7870569,0,204
370,505,7870562,1,204
370,505,7870560,0,204
370,505,7870558,0,204
370,506,7870581,0,204
418,505,9962480,1,204
418,506,9962493,1,204
418,507,9962495,1,204
421,507,30680349,1,204
421,507,30680346,0,204
421,507,30680342,0,204
421,507,30680334,0,204
421,506,30680326,1,204
421,506,30680324,0,204
421,506,30680314,0,204
421,505,30680297,1,204
421,505,30680296,0,204
421,505,30680295,0,204
421,505,30680279,0,204
421,506,30680321,0,204
430,505,17821753,0,204
430,505,17821763,0,204
430,505,17821765,0,204
430,505,17821770,0,204
430,505,17821780,1,204
430,506,17821794,1,204
430,507,17821817,1,204
475,507,15386495,1,204
475,507,15386479,0,204
475,506,15386469,1,204
475,505,15386458,0,204
475,505,15386460,0,204
475,505,15386455,0,204
475,505,15386461,1,204
783,505,15401113,0,204
783,505,15401115,0,204
783,505,15401118,0,204
783,505,15401119,0,204
783,505,15401124,1,204
783,506,15401145,1,204
783,507,15401154,1,204
810,507,14188909,1,204
810,506,14188903,1,204
810,505,14188890,0,204
810,505,14188894,1,204
826,505,20921007,1,204
826,506,20921032,1,204
826,507,20921075,1,204
830,505,10299542,1,204
830,506,10299558,1,204
830,507,10299568,1,204
832,507,14178820,0,204
832,507,14178838,1,204
832,507,14178831,0,204
832,507,14178830,0,204
832,507,14178827,0,204
832,506,14178805,1,204
832,505,14178748,0,204
832,506,14178796,0,204
832,506,14178793,0,204
832,505,14178782,1,204
832,505,14178779,0,204
832,505,14178776,0,204
832,506,14178803,0,204
890,505,21617968,1,204
890,506,21617995,1,204
890,507,21618007,1,204
904,505,7866178,0,204
904,505,7866157,0,204
904,505,7866186,0,204
904,505,7866105,0,204
904,505,7866129,0,204
940,505,21619178,1,204
940,506,21619385,1,204
940,507,21619451,0,204
940,507,21619477,0,204
945,506,30846199,1,204
945,505,30845845,1,204
945,506,30845893,0,204
945,506,30845962,0,204
945,506,30846032,0,204
945,506,30846060,0,204
945,506,30846089,0,204
945,506,30846130,0,204
945,507,30846275,1,204
999,505,6668512,1,204
1055,505,30846402,0,204
1055,505,30846565,0,204
1065,507,19638763,1,204
1065,507,19638761,0,204
1065,507,19638760,0,204
1065,507,19638757,0,204
1065,506,19638753,1,204
1065,506,19638751,0,204
1065,507,19638762,0,204
1065,506,19638740,0,204
1065,505,19638706,1,204
1065,505,19638703,0,204
1065,505,19638700,0,204
1065,506,19638747,0,204
1065,505,19638692,0,204
1080,506,20217956,1,204
1080,507,20217970,1,204
1080,505,20217930,1,204
1137,505,21528092,0,204
1137,505,21528106,1,204
1137,506,21528117,1,204
1143,505,14345126,0,204
1143,505,14345132,1,204
1143,506,14345141,1,204
1143,507,14345146,1,204
1199,507,11503609,1,204
1199,507,11503590,0,204
1199,507,11503604,0,204
1199,505,11503567,1,204
1199,506,11503584,1,204
1201,505,14788207,0,204
1201,505,14788255,0,204
1201,505,14788262,0,204
1201,505,14788267,0,204
1201,505,14788276,0,204
1201,505,14788281,0,204
1201,505,14788283,0,204
1201,505,14788284,1,204
1201,506,14788300,1,204
1201,507,14788307,1,204
