user_id,item_id,timestamp,correct,skill_id
4,986,39155679,1,233
8,986,9945728,0,233
8,986,9945737,1,233
20,986,51265162,0,233
20,986,51265185,0,233
20,986,51265192,0,233
21,986,39234424,0,233
21,986,39234442,1,233
29,986,14193247,0,233
29,986,14193257,1,233
29,986,17822369,1,233
30,986,12103444,0,233
30,986,12103451,1,233
36,986,82616821,1,233
37,986,6920449,1,233
37,986,6920445,0,233
56,986,4854176,0,233
56,986,4854180,1,233
66,986,52275230,0,233
66,986,52275243,0,233
66,986,52275246,1,233
67,986,15397034,0,233
67,986,15397047,1,233
75,986,38460299,1,233
80,986,42183539,0,233
80,986,42183552,1,233
87,986,20219593,0,233
87,986,20219609,1,233
121,986,48060802,1,233
122,986,45814482,1,233
122,986,45814466,0,233
128,986,10893909,0,233
128,986,10893917,1,233
148,986,10889567,0,233
148,986,10889572,1,233
154,986,4234430,0,233
154,986,4234433,1,233
154,986,7264118,0,233
154,986,7264125,1,233
168,986,7865535,0,233
168,986,7865546,1,233
171,986,36122563,1,233
180,986,7872333,1,233
180,986,7872320,0,233
180,986,7872326,0,233
183,986,47451347,1,233
191,986,42186850,0,233
191,986,42186894,1,233
195,986,6938392,0,233
195,986,6938397,1,233
197,986,14194615,0,233
197,986,14194622,1,233
199,986,6937458,0,233
199,986,6937461,1,233
200,986,5450434,0,233
200,986,5450441,1,233
211,986,6654128,0,233
211,986,6654132,1,233
218,986,41395161,0,233
218,986,41395158,0,233
218,986,41395178,1,233
218,986,41395156,0,233
218,986,41395142,0,233
218,986,41395150,0,233
218,986,41395114,0,233
218,986,41395152,0,233
220,986,4238270,0,233
220,986,4238275,1,233
224,986,9945593,0,233
224,986,9945597,1,233
238,986,21523936,1,233
239,986,21612206,1,233
244,986,37259459,0,233
244,986,37259486,1,233
247,986,4843005,0,233
247,986,4843010,1,233
254,986,46941255,1,233
259,986,52014030,1,233
261,986,17822598,1,233
264,986,6657296,0,233
264,986,6657309,1,233
268,986,77683002,1,233
268,986,83140602,1,233
271,986,20922502,1,233
273,986,10299511,0,233
273,986,10299517,1,233
284,986,7880585,0,233
284,986,7880601,1,233
285,986,4841431,0,233
285,986,4841439,1,233
294,986,9693168,1,233
294,986,9693162,0,233
296,986,10904438,0,233
296,986,10904444,1,233
311,986,9683946,0,233
311,986,9683953,1,233
313,986,3632942,0,233
313,986,3632945,1,233
321,986,9955305,0,233
321,986,9955307,0,233
321,986,9955310,1,233
323,986,46586976,1,233
328,986,15389760,0,233
328,986,15389777,1,233
328,986,9947408,0,233
328,986,9947417,1,233
330,986,21441737,1,233
339,986,5443278,0,233
339,986,5443291,1,233
339,986,5446394,0,233
339,986,5446398,0,233
339,986,5446410,0,233
339,986,5446413,0,233
339,986,5446421,1,233
341,986,7258551,0,233
341,986,7258563,1,233
362,986,42176154,0,233
362,986,42176123,0,233
362,986,42176158,1,233
378,986,11495195,1,233
378,986,11495189,0,233
384,986,6671017,0,233
384,986,6671025,1,233
400,986,51758563,0,233
400,986,51758579,1,233
405,986,51847006,0,233
444,986,21618623,1,233
461,986,9944547,0,233
461,986,9944554,1,233
461,986,14175969,0,233
461,986,14175990,1,233
461,986,15385231,0,233
461,986,15385237,1,233
464,986,7272254,1,233
464,986,7272251,0,233
475,986,9942309,0,233
475,986,9942317,1,233
480,986,37164384,0,233
480,986,37164430,1,233
483,986,11502035,0,233
483,986,11502045,1,233
509,986,42778938,1,233
510,986,4852211,0,233
510,986,4852214,1,233
514,986,42698086,0,233
514,986,42698102,0,233
514,986,42698106,0,233
514,986,42698130,1,233
534,986,47451980,1,233
534,986,47451951,0,233
537,986,5444676,0,233
537,986,5444683,1,233
542,986,6488033,0,233
542,986,6488036,0,233
542,986,6488042,1,233
545,986,21531629,1,233
553,986,47791047,0,233
553,986,47791081,0,233
553,986,47791084,1,233
563,986,45631526,1,233
571,986,36643844,1,233
587,986,19369583,1,233
587,986,19369579,0,233
598,986,36643578,1,233
616,986,7708785,0,233
616,986,7708788,1,233
634,986,15398593,0,233
634,986,15398598,1,233
638,986,9691601,0,233
638,986,9691606,1,233
646,986,11757213,0,233
646,986,11757218,1,233
648,986,5444805,0,233
648,986,5444815,1,233
653,986,19632072,1,233
653,986,20238246,1,233
653,986,20238253,0,233
662,986,45634680,0,233
662,986,45634707,1,233
676,986,7272787,1,233
676,986,7272778,0,233
686,986,52281019,1,233
713,986,4856633,0,233
713,986,4856637,1,233
718,986,3639430,0,233
718,986,3639444,1,233
729,986,7264796,0,233
729,986,7264801,1,233
736,986,38459972,1,233
740,986,3629787,0,233
740,986,3629796,1,233
749,986,9962206,0,233
749,986,9962212,1,233
752,986,11494359,1,233
752,986,11494353,0,233
764,986,47784616,1,233
766,986,6933943,0,233
766,986,6933949,1,233
766,986,9955210,0,233
766,986,9955216,1,233
771,986,11773962,1,233
771,986,11773970,0,233
777,986,6665355,0,233
777,986,6665359,1,233
783,986,21436795,1,233
786,986,15389651,0,233
786,986,15389663,1,233
787,986,6671180,1,233
787,986,6671177,0,233
790,986,15398496,0,233
790,986,15398500,1,233
810,986,6931770,0,233
810,986,6931773,1,233
822,986,6937720,0,233
822,986,6937725,1,233
830,986,3647768,0,233
830,986,3647771,1,233
836,986,3647515,0,233
836,986,3647518,1,233
840,986,10897080,0,233
840,986,10897088,1,233
862,986,51934983,1,233
863,986,6653133,0,233
863,986,6653139,1,233
877,986,9954658,0,233
877,986,9954667,1,233
882,986,45812014,0,233
882,986,45812108,0,233
882,986,45812110,0,233
882,986,45812115,0,233
882,986,45812117,0,233
882,986,45812122,0,233
882,986,45812124,1,233
893,986,39669923,0,233
893,986,39669949,1,233
896,986,6653241,0,233
896,986,6653238,0,233
896,986,6653244,1,233
899,986,10737099,1,233
899,986,10737047,0,233
904,986,3633320,1,233
904,986,3633296,0,233
905,986,21523811,1,233
917,986,18150828,1,233
917,986,19964714,1,233
918,986,4839426,0,233
918,986,4839431,1,233
918,986,4839481,0,233
918,986,4839483,1,233
921,986,7867464,0,233
921,986,7867467,1,233
