user_id,problem_id,correct,skill_name
70707,91653,1,Greatest Common Factor
73684,91664,1,Greatest Common Factor
75169,91656,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
75316,91648,1,Greatest Common Factor
77866,91666,1,Greatest Common Factor
78038,91653,1,Greatest Common Factor
78038,91654,1,Greatest Common Factor
78042,91658,0,Greatest Common Factor
78044,91652,0,Greatest Common Factor
78044,91648,0,Greatest Common Factor
78046,91657,1,Greatest Common Factor
78049,91654,0,Greatest Common Factor
78052,91666,1,Greatest Common Factor
78061,91654,0,Greatest Common Factor
78492,91654,1,Greatest Common Factor
78492,91656,1,Greatest Common Factor
