user_id,problem_id,correct,skill_name
53167,53296,1,Ordering Integers
53167,79062,1,Ordering Integers
53167,79001,0,Ordering Integers
53167,78953,0,Ordering Integers
53167,79073,0,Ordering Integers
53167,78924,1,Ordering Integers
53167,78976,1,Ordering Integers
53167,66627,1,Ordering Integers
53167,53285,1,Ordering Integers
53167,66587,1,Ordering Integers
53167,79076,0,Ordering Integers
64525,78974,0,Ordering Integers
64525,78943,0,Ordering Integers
64525,78947,1,Ordering Integers
64525,79004,1,Ordering Integers
64525,79013,1,Ordering Integers
64525,79066,0,Ordering Integers
64525,78863,1,Ordering Integers
64525,79008,1,Ordering Integers
64525,78988,1,Ordering Integers
64525,78859,1,Ordering Integers
64525,79032,1,Ordering Integers
64525,79065,0,Ordering Integers
64525,79012,1,Ordering Integers
64525,78969,0,Ordering Integers
64525,79015,1,Ordering Integers
64525,78903,1,Ordering Integers
64525,79003,1,Ordering Integers
64525,78866,1,Ordering Integers
64525,79072,1,Ordering Integers
64525,66609,1,Ordering Integers
64525,53304,1,Ordering Integers
64525,53317,1,Ordering Integers
64525,53327,1,Ordering Integers
64525,66699,1,Ordering Integers
64525,78902,1,Ordering Integers
64525,79063,0,Ordering Integers
64525,79056,0,Ordering Integers
64525,78866,1,Ordering Integers
64525,79004,1,Ordering Integers
64525,78930,1,Ordering Integers
64525,78863,1,Ordering Integers
64525,79042,0,Ordering Integers
64525,79040,0,Ordering Integers
64525,79039,1,Ordering Integers
64525,79031,1,Ordering Integers
64525,78884,1,Ordering Integers
64525,78881,1,Ordering Integers
64525,79022,1,Ordering Integers
64525,79072,0,Ordering Integers
64634,53317,1,Ordering Integers
64634,53289,1,Ordering Integers
64634,66582,1,Ordering Integers
64634,66634,0,Ordering Integers
64634,66700,1,Ordering Integers
64634,66692,1,Ordering Integers
64634,66639,1,Ordering Integers
70679,53342,1,Ordering Integers
70679,66635,1,Ordering Integers
70682,78917,1,Ordering Integers
70682,78985,1,Ordering Integers
70682,79037,1,Ordering Integers
70682,53278,1,Ordering Integers
70682,78876,1,Ordering Integers
70682,66623,1,Ordering Integers
70682,78978,1,Ordering Integers
70687,53319,1,Ordering Integers
70687,66608,1,Ordering Integers
70687,78885,0,Ordering Integers
70687,78870,0,Ordering Integers
70693,78886,0,Ordering Integers
70693,78915,1,Ordering Integers
70693,79008,0,Ordering Integers
70693,78970,0,Ordering Integers
70693,79067,0,Ordering Integers
70693,78980,0,Ordering Integers
70693,78922,0,Ordering Integers
70693,78974,0,Ordering Integers
70693,79057,0,Ordering Integers
70693,66639,1,Ordering Integers
70693,53349,1,Ordering Integers
70693,78952,0,Ordering Integers
70695,78878,1,Ordering Integers
70695,79068,1,Ordering Integers
70695,78863,1,Ordering Integers
70695,78909,1,Ordering Integers
70695,79035,0,Ordering Integers
70695,78927,1,Ordering Integers
70695,53277,1,Ordering Integers
70695,66621,1,Ordering Integers
70695,66702,1,Ordering Integers
70695,53301,1,Ordering Integers
70695,79021,0,Ordering Integers
70699,66611,1,Ordering Integers
70699,66581,1,Ordering Integers
70699,53299,1,Ordering Integers
70701,79049,0,Ordering Integers
70701,78999,0,Ordering Integers
70701,78952,1,Ordering Integers
70701,66599,1,Ordering Integers
70701,78977,1,Ordering Integers
70701,66703,1,Ordering Integers
70701,66575,0,Ordering Integers
70701,53349,1,Ordering Integers
70701,66700,1,Ordering Integers
70702,78948,1,Ordering Integers
70702,79046,1,Ordering Integers
70702,78945,1,Ordering Integers
70702,78996,1,Ordering Integers
70702,53270,1,Ordering Integers
70702,66678,1,Ordering Integers
70702,79008,1,Ordering Integers
70702,78865,1,Ordering Integers
70702,78884,1,Ordering Integers
70702,78967,1,Ordering Integers
70702,78858,1,Ordering Integers
70702,78953,1,Ordering Integers
70702,79026,0,Ordering Integers
70702,79033,0,Ordering Integers
70702,78862,0,Ordering Integers
70702,79017,1,Ordering Integers
70702,53305,1,Ordering Integers
70702,66668,1,Ordering Integers
70702,79043,0,Ordering Integers
70702,79052,0,Ordering Integers
70702,79040,0,Ordering Integers
70702,78875,0,Ordering Integers
70702,78902,0,Ordering Integers
70702,78941,0,Ordering Integers
70702,78911,0,Ordering Integers
70702,78880,1,Ordering Integers
70702,78993,1,Ordering Integers
70702,79024,1,Ordering Integers
70702,79006,0,Ordering Integers
70704,66665,1,Ordering Integers
70704,78979,0,Ordering Integers
70704,78902,1,Ordering Integers
70704,78935,1,Ordering Integers
70704,78929,1,Ordering Integers
70704,79003,1,Ordering Integers
70704,79080,0,Ordering Integers
70704,53270,1,Ordering Integers
70704,78954,0,Ordering Integers
70704,78968,1,Ordering Integers
70704,79048,1,Ordering Integers
70704,78989,1,Ordering Integers
70704,79038,1,Ordering Integers
70704,78933,0,Ordering Integers
70704,79025,1,Ordering Integers
70704,66627,1,Ordering Integers
70704,53287,1,Ordering Integers
70704,78909,1,Ordering Integers
70706,79025,1,Ordering Integers
70706,79062,1,Ordering Integers
70706,79010,1,Ordering Integers
70706,78921,1,Ordering Integers
70706,78903,1,Ordering Integers
70706,79002,0,Ordering Integers
70706,78885,1,Ordering Integers
70706,66667,1,Ordering Integers
70706,53345,1,Ordering Integers
70706,79018,1,Ordering Integers
70707,66627,1,Ordering Integers
70707,78918,1,Ordering Integers
70707,78864,1,Ordering Integers
70707,79056,1,Ordering Integers
70707,79022,1,Ordering Integers
70707,79052,0,Ordering Integers
70707,78924,1,Ordering Integers
